long,lat,incident_date,incident_time,location
-79.380903,43.656325,07/09/2016,1650,DUNDAS ST W / YONGE ST
-79.380903,43.656325,08/04/2016,1728,DUNDAS ST W / YONGE ST
-79.380903,43.656325,11/28/2016,1815,DUNDAS ST W / YONGE ST
-79.433261,43.637735,12/25/2014,1610,DUNN AV / KING ST W
-79.421527,43.671619,05/25/2016,1520,DUPONT ST / CHRISTIE ST
-79.417237,43.638881,08/30/2016,900,EAST LIBERTY ST / LYNN WILLIAMS ST
-79.390154,43.708419,04/23/2015,1840,EGLINTON AV E / MOUNT PLEASANT RD
-79.291483,43.690506,03/29/2014,1720,ELDON AV / DANFORTH AV
-79.40971,43.651555,04/02/2016,2305,EUCLID AV / DUNDAS ST W
-79.347025,43.666662,02/21/2016,1620,GERRARD ST E / HOWLAND RD
-79.373534,43.660946,06/02/2014,1607,GERRARD ST E / PEMBROKE ST
-79.389626,43.65753,09/21/2016,715,GERRARD ST W / UNIVERSITY AV
-79.434082,43.660131,09/22/2015,1307,GLADSTONE AV / BLOOR ST W
-79.431697,43.667186,10/01/2014,1700,HALLAM ST / DOVERCOURT RD
-79.404808,43.662502,12/16/2015,830,HARBORD ST / MAJOR ST
-79.402215,43.663048,11/09/2014,1800,HARBORD ST / SPADINA AV
-79.386408,43.669372,02/01/2016,1151,HAYDEN ST / YONGE ST
-79.402416,43.669461,06/21/2014,1110,HURON ST / LOWTHER AV
-79.38071,43.652101,08/28/2014,1716,JAMES ST / QUEEN ST W
-79.369456,43.650998,11/17/2015,1440,KING ST E / FREDERICK ST
-79.368253,43.651266,07/19/2014,1200,KING ST E / SHERBOURNE ST
-79.377892,43.649159,12/03/2015,1030,KING ST E / YONGE ST
-79.377892,43.649159,10/21/2016,825,KING ST E / YONGE ST
-79.40267,43.643904,10/19/2015,845,KING ST W / BATHURST ST
-79.380258,43.648651,06/02/2015,1940,KING ST W / BAY ST
-79.380258,43.648651,06/05/2016,2100,KING ST W / BAY ST
-79.380258,43.648651,07/27/2016,1600,KING ST W / BAY ST
-79.392304,43.646031,05/24/2016,230,KING ST W / BLUE JAYS WY
-79.388104,43.646951,07/26/2016,1300,KING ST W / DUNCAN ST
-79.392304,43.646031,05/02/2014,1440,KING ST W / PETER ST
-79.392304,43.646031,11/09/2015,1230,KING ST W / PETER ST
-79.400057,43.644446,09/10/2016,2000,KING ST W / PORTLAND ST
-79.386082,43.647381,09/25/2014,1920,KING ST W / SIMCOE ST
-79.386082,43.647381,07/24/2015,2200,KING ST W / SIMCOE ST
-79.386082,43.647381,08/19/2015,1300,KING ST W / SIMCOE ST
-79.394895,43.645488,05/06/2015,1450,KING ST W / SPADINA AV
-79.394895,43.645488,11/07/2016,1300,KING ST W / SPADINA AV
-79.411951,43.642041,08/02/2016,1530,KING ST W / STRACHAN AV
-79.384812,43.64766,05/26/2014,1055,KING ST W / UNIVERSITY AV
-79.383549,43.647929,08/02/2016,1715,KING ST W / YORK ST
-79.558672,43.694218,08/27/2015,1541,KIPLING AV / DIXON RD
-79.386669,43.660684,09/15/2015,1250,LA PLANTE AV / COLLEGE ST
-79.509701,43.599802,09/09/2015,1019,LAKE SHORE BV W / ELEVENTH ST
-79.481273,43.622949,06/07/2014,1700,LAKE SHORE BV W / MARINE PARADE DR
-79.442734,43.658345,11/12/2016,135,LANSDOWNE AV / BLOOR ST W
-79.439718,43.658973,12/20/2015,1530,MARGUERETTA ST / BLOOR ST W
-79.371681,43.648012,09/02/2016,1145,MARKET ST / THE ESPLANADE
-79.391438,43.654313,08/31/2015,1745,MC CAUL ST / DUNDAS ST W
-79.390247,43.651492,10/01/2014,2200,MC CAUL ST / STEPHANIE ST
-79.357359,43.65135,07/05/2014,1203,MILL ST / CHERRY ST
-79.327156,43.682589,07/18/2015,1711,MONARCH PARK AV / DANFORTH AV
-79.417877,43.655232,11/14/2014,1600,MONTROSE AV / COLLEGE ST
-79.326557,43.690584,10/20/2015,1200,MORTIMER AV / COXWELL AV
-79.419817,43.646923,02/07/2014,1815,OSSINGTON AV / ARGYLE ST
