ID,ADDRESS_OR_INTERSECTION,POSTAL_CODE,GC_LONGITUDE,GC_LATITUDE
303879,909 Queen St E,M4M 1J4,-79.34149527,43.66054315
303891,399 Church St.,M5B 2J6,-79.37893655,43.66179349
303901,1068 Danforth Avenue,M4J 1M2,-79.33564622,43.68106242
303922,5113 Sheppard Ave E,Toronto,-79.376342,43.652804
303924,721 Gerrard St E,M4M 1Y5,-79.34781639,43.66633643
303933,1575 Jane Street,M9N 2R3,-79.5023861,43.69919699
303937,3245 Finch Ave E,M1W 4C1,-79.3200382,43.79533717
303946,332 Oakwood Ave,M6E 2V9,-79.43851019,43.68604686
303955,245 Eglinton Ave    E ,M4P 3B7,-79.38954788,43.70826064
303996,20 Wynford Drive,M3C 1J4,-79.33632887,43.72396733
303997,3757 Keele St,M3J 1N4,-79.48890534,43.75782484
304025,125 Norfinch Dr,M3N 1W8,-79.52885245,43.76259458
304037,2045 Dufferin St,M6E 3R4,-79.44620286,43.68644277
304065,56 Westmore Drive,M9V 1C3,-79.60373183,43.73989258
304069,2209 Bloor St W,M6S 1N5,-79.47579343,43.65103032
304097,2306 Keele Street,M6M 3Z8,-79.47717637,43.70334276
304152,1111 Finch Ave W,M3J 2E5,-79.47392959,43.76595048
304163,5359 Dundas St W,M9B 1B1,-79.53991279,43.63575863
304186,2883 Danforth Avenue,M4C 1M3,-79.29455116,43.68966193
304194,2 Champagne Drive,M3J 2C5,-79.47234025,43.76642706
304199,620 Keele St,M6N 3E2,-79.46785467,43.67160775
304224,1290 Bloor Street West,M6H 1N9,-79.44203742,43.65865399
304231,3424 Weston Rd,M9M 2W1,-79.54239103,43.75044831
304256,390 Queens Quay W,M5V 3A6,-79.39068763,43.6381328
304260,77 Provost Dr,M2K 0B7,-79.37047325,43.76915976
304323,1450 O'Connor Drive,M4B 2T8,-79.30680033,43.71366175
304324,1173 Queen St W,M6J 1J4,-79.42601192,43.64258969
304336,589 King St E,M5A 1M6,-79.35645346,43.65640525
304398,718 Yonge St,M4Y 2B3,-79.38626668,43.66836969
304403,28 Overlea Blvd,M4H 1B6,-79.35000781,43.70554064
304419,75 Lesmill Rd,M3B 2T8,-79.35642076,43.75912192
304435,170 Fort York Blvd,M5V 0E6,-79.39978624,43.63939414
304436,500 King St W,M5V 1L9,-79.39680837,43.64532424
304446,2223 Bloor St W,M6S 1N7,-79.47647642,43.65093791
304447,449 Queen St W,M5V 2A9,-79.39690479,43.64848563
